tweet,sentiment,tokenized_text,cleaned_text
"Hallo, sobat Nedutase Lepas Sambut Kepala SMK Negeri 2 Kota Tangerang Selatan Terima kasih Ibu Hj. Dwi Novi Hardani S.Pd Dan selamat datang Bpk. Akhmad Basuni, S.Pd.I, MA.Pd",positif,"['hallo', 'sobat', 'nedutase', 'lepas', 'sambut', 'kepala', 'smk', 'negeri', '2', 'kota', 'tangerang', 'selatan', 'terima', 'kasih', 'ibu', 'hj', 'dwi', 'novi', 'hardani', 'spd', 'dan', 'selamat', 'datang', 'bpk', 'akhmad', 'basuni', 'spdi', 'mapd']","['lepas', 'sambut', 'terima', 'selamat']"
Shin Tae-yong selaku pelatih kepala Timnas Indonesia didampingi Ricky Kambuaya mengikuti Pre Match Press Conference jelang laga kontra Filipina dalam gelaran Piala AFF 2022 pada Minggu (1/1)...,netral,"['shin', 'taeyong', 'selaku', 'pelatih', 'kepala', 'timnas', 'indonesia', 'didampingi', 'ricky', 'kambuaya', 'mengikuti', 'pre', 'match', 'press', 'conference', 'jelang', 'laga', 'kontra', 'filipina', 'dalam', 'gelaran', 'piala', 'aff', '2022', 'pada', 'minggu', '11']","['indonesia', 'kontra']"
SUZUKI XL 7 Jawabannya! Tampilan eksterior Suzuki XL7 tampil lebih gagah. Grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah. Desain bumper dan foglamp kini terlihat menonjolkan...,positif,"['suzuki', 'xl', '7', 'jawabannya', 'tampilan', 'eksterior', 'suzuki', 'xl7', 'tampil', 'lebih', 'gagah', 'grill', 'hadir', 'dengan', 'tambahan', 'nuansa', 'chrome', 'membuatnya', 'lebih', 'mewah', 'desain', 'bumper', 'dan', 'foglamp', 'kini', 'terlihat', 'menonjolkan']","['suzuki', 'tampilan', 'eksterior', 'suzuki', 'gagah', 'grill', 'tambahan', 'nuansa', 'chrome', 'mewah', 'desain', 'bumper', 'foglamp', 'menonjolkan']"
Baru saja mengirim foto @ TOYOTA PERINTIS GATSU MEDANTranslate post,netral,"['baru', 'saja', 'mengirim', 'foto', 'toyota', 'perintis', 'gatsu', 'medantranslate', 'post']","['toyota', 'perintis', 'gatsu']"
DIJUAL BMW E30 318i Mesin M10 Plat R Pajak On Bodi mulus ( selesai restorasi ) Mesin sehat kering Lantai tidak keropos ( selesai restorasi ) Minus : Jok sobek Kancing laci dasboard lepas Lokasi...,netral,"['dijual', 'bmw', 'e30', '318i', 'mesin', 'm10', 'plat', 'r', 'pajak', 'on', 'bodi', 'mulus', 'selesai', 'restorasi', 'mesin', 'sehat', 'kering', 'lantai', 'tidak', 'keropos', 'selesai', 'restorasi', 'minus', 'jok', 'sobek', 'kancing', 'laci', 'dasboard', 'lepas', 'lokasi']","['dijual', 'bmw', 'mesin', 'plat', 'pajak', 'mulus', 'selesai', 'restorasi', 'mesin', 'sehat', 'kering', 'lantai', 'keropos', 'selesai', 'restorasi', 'minus', 'jok', 'sobek', 'kancing', 'laci', 'dasboard', 'lepas']"
"Semifinal AFF Mitsubishi Electric Cup 2022 Timnas Indonesia akan menghadapi Vietnam, Indonesia menjadi tuan rumah terlebih dahulu. Duel Shin Tae Yong vs Park Hang Seo akan kembali tersaji ??...",netral,"['semifinal', 'aff', 'mitsubishi', 'electric', 'cup', '2022', 'timnas', 'indonesia', 'akan', 'menghadapi', 'vietnam', 'indonesia', 'menjadi', 'tuan', 'rumah', 'terlebih', 'dahulu', 'duel', 'shin', 'tae', 'yong', 'vs', 'park', 'hang', 'seo', 'akan', 'kembali', 'tersaji']","['mitsubishi', 'electric', 'indonesia', 'menghadapi', 'vietnam', 'indonesia', 'tae', 'yong']"
"Hari Perlawanan 5 | Selasa, 3 Januari 2023 Kumpulan B • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? SINGAPURA ? 8.30 malam ini ? Stadium Nasional, Bukit...",netral,"['hari', 'perlawanan', '5', 'selasa', '3', 'januari', '2023', 'kumpulan', 'b', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'malaysia', 'singapura', '830', 'malam', 'ini', 'stadium', 'nasional', 'bukit']","['3', 'kumpulan', 'mitsubishi', 'electric', 'malaysia', 'singapura', 'nasional']"
"Terima kasih kepada 65,147 orang penyokong yang hadir menyaksikan aksi terakhir Kumpulan B, Piala Mitsubishi Electric AFF 2022, Malaysia lwn Singapura di Stadium Nasional, Bukit Jalil, malam...",positif,"['terima', 'kasih', 'kepada', '65147', 'orang', 'penyokong', 'yang', 'hadir', 'menyaksikan', 'aksi', 'terakhir', 'kumpulan', 'b', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'malaysia', 'lwn', 'singapura', 'di', 'stadium', 'nasional', 'bukit', 'jalil', 'malam']","['terima', 'penyokong', 'menyaksikan', 'aksi', 'kumpulan', 'mitsubishi', 'electric', 'malaysia', 'singapura', 'nasional']"
"? Pasukan kebangsaan ?? akan bertemu Thailand ?? pada aksi timbal balik peringkat separuh akhir Piala Mitsubishi Electric AFF 2022! Selamat berjuang, Harimau Malaya! ? #AFFMitsubi...",positif,"['pasukan', 'kebangsaan', 'akan', 'bertemu', 'thailand', 'pada', 'aksi', 'timbal', 'balik', 'peringkat', 'separuh', 'akhir', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'selamat', 'berjuang', 'harimau', 'malaya']","['pasukan', 'kebangsaan', 'thailand', 'aksi', 'timbal', 'peringkat', 'mitsubishi', 'electric', 'selamat', 'berjuang']"
For Sale Toyota Crown Lele... Custom 2 pintu.. Kondisi rapi mulus... SS komplit... Mesin lari Interior top.. Penasaran bisa langsung di WhatsApp aja info lengkap dan harga : 082213701648Translate post,netral,"['for', 'sale', 'toyota', 'crown', 'lele', 'custom', '2', 'pintu', 'kondisi', 'rapi', 'mulus', 'ss', 'komplit', 'mesin', 'lari', 'interior', 'top', 'penasaran', 'bisa', 'langsung', 'di', 'whatsapp', 'aja', 'info', 'lengkap', 'dan', 'harga', '082213701648translate', 'post']","['sale', 'toyota', 'crown', 'custom', 'pintu', 'kondisi', 'rapi', 'mulus', 'ss', 'komplit', 'mesin', 'lari', 'interior', 'top', 'penasaran', 'lengkap']"
